İstanbul;(42. Yarış Günü);17/07/2022
1. Kosu :   15:15;ŞARTLI 4/DHÖW/Y2; 4 Yaşlı Araplar; 58.00kg; 1900m; Çim;;;;Rekor Derece :2.04.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)76.000 TL;2.)30.400 TL;3.)15.200 TL;4.)7.600 TL;5.)3.800 TL;1.)13.110 TL;2.)5.244 TL;3.)2.622 TL;4.)1.311 TL;5.)656 TL;
1;SNOW BIRD KG K DB;3y k  d;GENERAL QUARTERS (USA);CUTIE'S ROSIE (USA);58;A.ÇELİK;BURAK BİLEN;N.KAYA;8;%30.18(1)  %27.15(2);95;2:09.96;2,25;9 Boy
2;LAURACEOUS KG K;3y d  d;FAST 'N' FAMOUS (AUS);DİCOŞ;58;MÜS.ÇELİK;FIRAT YILDIRIM;BUR.ARSLAN;7;%5.19(6)  %6.62(5);52;2:11.46;9,60;Yarım Boy
3;HIGEBZ KG SK;3y d  d;SCARFACE;TSARINA;58;G.ÖZÇELİK;SERDAR ZABUN;T.TAŞAR;9;%1.77(8)  %2.24(8);61;2:11.57;33,15;Yarım Boy
4;SPLENDID SKG;3y d  d;LUXOR;GRAND EXPECTATIONS;58;G.KOCAKAYA;VOLKAN R. EKİNCİ;A.KÜÇÜKAKSOY;1;%17.61(3)  %17.18(3);88;2:11.68;4,40;2 Boy
5;KARAKRALİÇE KG DB SK;3y d  d;SMART ROBIN (JPN);SEZGİ HANIM;58;Ö.YILDIRIM;MURAT SARRAÇ;EN.TOKÇALAR;5;%28.13(2)  %27.72(1);92;2:11.97;2,75;
6;WARSHOWA KG SK;3y k  d;WIN RIVER WIN (USA);BEST OF ANGEL;58;V.KAPLAN;AYFER USLU;G.TOPBAŞ;6;%6.2(4)  %6.63(4);64;2:13.07;10,20;
7;SOYLU YAĞMUR KG SK;3y d  d;PERFECTO;ŞUBAR;58;VEDAT ABİŞ;MEHMET KOPAL;Ü.YAYLA;3;%5.36(5)  %6.07(6);56;2:14.03;13,25;
8;LADY İREM K DB;3y d  d;SCARFACE;SPECIAL DREAM (IRE);58;M.ÇİÇEK;ALİ KEMAL ÇELİK;R.TURAN;4;%4.41(7)  %5.07(7);56;2:21.95;15,00;
9;BRODBECK SKG SK;3y d  d;FAST 'N' FAMOUS (AUS);MISS GHENA (USA);58;T.YILDIZ;AHMET ÇİÇEK;G.TOPBAŞ;2;%1.17(9)  %1.31(9);64;2:24.48;36,30;
GANYAN(6) :2,25 TL, 1. 6'LI GANYAN(2/4/6/8/7/6) :71,35 TL, 1. 5'Lİ GANYAN(4/6/8/7/6) :40,34 TL, İKİLİ(5/6) :18,45 TL, SIRALI İKİLİ(6/5) :24,00 TL, ÜÇLÜ BAHİS(6/5/2) :69,14 TL, PLASE(5) :5,80 TL, PLASE(6) :3,00 TL, 5. ÇİFTE(7/6) :3,75 TL
